
---------- Begin Simulation Statistics ----------
simSeconds                                   0.088927                       # Number of seconds simulated (Second)
simTicks                                  88927085500                       # Number of ticks simulated (Tick)
finalTick                                 88927085500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    345.62                       # Real time elapsed on the host (Second)
hostTickRate                                257299153                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     679412                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      101177149                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   289337                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292743                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        177854332                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.772783                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.564085                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       126805184                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      857                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      118800966                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 111496                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             25628828                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19238962                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  76                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           177014438                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.671137                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.400874                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 132851875     75.05%     75.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  14028179      7.92%     82.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6335765      3.58%     86.56% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11871012      6.71%     93.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   6982706      3.94%     97.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2447894      1.38%     98.59% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1523015      0.86%     99.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    612099      0.35%     99.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    361893      0.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             177014438                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  596254     35.63%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      8      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                     13      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     35.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     35.63% # attempts to use FU when none available (Count)
