
---------- Begin Simulation Statistics ----------
simSeconds                                   0.086352                       # Number of seconds simulated (Second)
simTicks                                  86352107000                       # Number of ticks simulated (Tick)
finalTick                                 86352107000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    342.98                       # Real time elapsed on the host (Second)
hostTickRate                                251772535                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     681460                       # Number of bytes of host memory used (Byte)
simInsts                                    100000000                       # Number of instructions simulated (Count)
simOps                                      101177149                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   291565                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     294997                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        172704229                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.721448                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.580906                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       127372508                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      929                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      118836121                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 141528                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             26196224                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          20053057                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 148                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           172468094                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.689032                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.425295                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 128954012     74.77%     74.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  13389959      7.76%     82.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6299022      3.65%     86.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  11499330      6.67%     92.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   7249564      4.20%     97.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2512644      1.46%     98.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1542735      0.89%     99.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    634382      0.37%     99.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    386446      0.22%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             172468094                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  642849     33.55%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     33.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     33.55% # attempts to use FU when none available (Count)
